MYSQL Assignment No : 09
Name : Gaurav Gaikwad
PRN : 230943120029



mysql> select s.id, s.namefirst, sa.address from student s join
    -> student_address sa on s.id = sa.id;
+----+-----------+-------------------------------------------------------------------+
| id | namefirst | address                                                           |
+----+-----------+-------------------------------------------------------------------+
|  1 | saleel    | 13758 Dogwood, St, Trona, CA, Los Angeles, 93562                  |
|  2 | omkar     | 2263 Ga 17 Hwy N, Millen, GA, Atlanta, 30442                      |
|  3 | ulka      | 409 Berry St, Louisa, KY, San Jose, 41230                         |
|  4 | rahul     | 7720 Covington Rd, Pink Stand, TN, San Francisco, 37188           |
|  5 | ruhan     | 15 Hempstead, St, Saugus, MA, Las Vega, 1906                      |
|  6 | lala      | 165 Village Dr., P.O. Box 3700, Oakland, TN, Oakland, 38060       |
|  7 | sharmin   | Po Box 83, Faith, NC, New Jersey, 28041                           |
|  8 | vrushali  | 3402 Buccaneer Rose Ave, Bakersfield, CA, Boston, 93313           |
|  9 | vasant    | Po Box 77, Linking Road, UK                                       |
| 10 | nitish    | 7710 Covington Rd , New State Road, New York, 37188               |
| 11 | neel      | 15 Hempstead St, Saugus, MA, Boston, 1906                         |
| 12 | deep      | 165 Ken city, P.O. Box 942873, 50 Higuera Street, Oakland, 38060  |
| 13 | nrupali   | Po Box 83, Faith, NC, null, New York, 28041                       |
| 14 | supriya   | 808 Rocky Hill Rd, Plymouth 1993 Cross lane, Boston, 32360        |
| 15 | bandish   | 118 Lippitt Ave Warwick, 100 S. Main Street, Los Angeles, 12889   |
| 16 | sangita   | 5973 Moon Shadow Dr. Herriman, null, Atlanta, 2345                |
| 17 | sangita   | 13758 Dogwood St, Trona, null, San Jose, 93562                    |
| 18 | rahul     | 2263 Ga 17 Hwy N, Millen, null, Las Vega, 30442                   |
| 19 | bhavin    | 321/vimal park, karve road, pune, 411038                          |
| 20 | kaushal   | Prashant Society, Kothrud, pune, 411038                           |
| 21 | pankaj    | 8 vaibhav, Ishadan soc, paud road, Pune                           |
| 22 | rajan     | 9 vaibhav, Ishadan soc, paud road, Pune                           |
| 23 | bhavin    | 10  vaibhav, Ishadan soc, paud road,  Pune                         |
| 24 | mukesh    | 4 vaibhav, Ishadan soc, paud road, Pune                           |
| 25 | dilu      | 7 vaibhav, Ishadan soc, paud road, Pune                           |
| 26 | sonam     | 19 Hempstead St, go streat, MG, Boston, 19077                     |
| 27 | rohit     | 1699 Ken city, P.O. Box 942873, 50 Higuera Street, Oakland, 38060 |
| 28 | raj       | Po Box 87, Faith, NC, New York, 28045                             |
+----+-----------+-------------------------------------------------------------------+
28 rows in set (0.00 sec)




mysql> select namefirst, namelast, emailID, name, college FROM student join student_qualifications ON student.id = student_qualifications.studentID;
+-----------+----------+--------------------------+--------+---------------+
| namefirst | namelast | emailID                  | name   | college       |
| nrupali   | save     | nrupali.save@gmail.com   | BE     | Texas         |
| supriya   | karnik   | supriya.karnik@gmail.com | 10     | Oregon        |
| supriya   | karnik   | supriya.karnik@gmail.com | 12     | Florida       |
| supriya   | karnik   | supriya.karnik@gmail.com | BE     | Idaho         |
| bandish   | karnik   | bandish.karnik@gmail.com | 10     | New Hampshire |
| bandish   | karnik   | bandish.karnik@gmail.com | 12     | Montana       |
| bandish   | karnik   | bandish.karnik@gmail.com | BE     | Alabama       |
| sangita   | karnik   | sangita.karnik@gmail.com | 10     | Michigan      |
| sangita   | karnik   | sangita.karnik@gmail.com | 12     | Oklahoma      |
| sangita   | karnik   | sangita.karnik@gmail.com | BE     | Mississippi   |
| sangita   | menon    | sangita.menon@gmail.com  | 10     | Alabama       |
| sangita   | menon    | sangita.menon@gmail.com  | 12     | Indiana       |
| sangita   | menon    | sangita.menon@gmail.com  | BE     | Ohio          |
| rahul     | shah     | rahul.shah@gmail.com     | 10     | Iowa          |
| rahul     | shah     | rahul.shah@gmail.com     | 12     | Kentucky      |
| rahul     | shah     | rahul.shah@gmail.com     | BE     | Maryland      |
| bhavin    | patel    | bhavin.patel@gmail.com   | 10     | Alabama       |
| bhavin    | patel    | bhavin.patel@gmail.com   | 12     | Virginia      |
| bhavin    | patel    | bhavin.patel@gmail.com   | BE     | Maine         |
| kaushal   | patil    | kaushal.patil@gmail.com  | 10     | Vermont       |
| kaushal   | patil    | kaushal.patil@gmail.com  | 12     | Iowa          |
| kaushal   | patil    | kaushal.patil@gmail.com  | BE     | Maryland      |
| pankaj    | gandhi   | pankaj.gandhi@gmail.com  | 10     | Alabama       |
| pankaj    | gandhi   | pankaj.gandhi@gmail.com  | 12     | Alaska        |
| pankaj    | gandhi   | pankaj.gandhi@gmail.com  | BE     | Arizona       |
| rajan     | patel    | rajan.patel@gmail.com    | 10     | Alabama       |
| rajan     | patel    | rajan.patel@gmail.com    | 12     | Alaska        |
| rajan     | patel    | rajan.patel@gmail.com    | BE     | Arizona       |
| bhavin    | patel    | bhavin.patel@gmail.com   | 10     | Alabama       |
| bhavin    | patel    | bhavin.patel@gmail.com   | 12     | Alaska        |
| bhavin    | patel    | bhavin.patel@gmail.com   | BE     | Arizona       |
| mukesh    | bhavsar  | mukesh.bhavsar@gmail.com | 10     | Ohio          |
| mukesh    | bhavsar  | mukesh.bhavsar@gmail.com | 12     | Iowa          |
| mukesh    | bhavsar  | mukesh.bhavsar@gmail.com | BE     | Kentucky      |
| dilu      | khande   | dilu.khande@gmail.com    | 10     | Ohio          |
| dilu      | khande   | dilu.khande@gmail.com    | 12     | Iowa          |
| dilu      | khande   | dilu.khande@gmail.com    | BE     | Kentucky      |
| sonam     | khan     | sonam.khan@gmail.com     | 10     | Iowa          |
| sonam     | khan     | sonam.khan@gmail.com     | DIP    | Kentucky      |
| sonam     | khan     | sonam.khan@gmail.com     | BE     | Maryland      |
| rohit     | patil    | rohit.patil@gmail.com    | 10     | Alabama       |
| rohit     | patil    | rohit.patil@gmail.com    | 12     | Virginia      |
| rohit     | patil    | rohit.patil@gmail.com    | DIP    | Maine         |
| rohit     | patil    | rohit.patil@gmail.com    | BE     | Vermont       |
| raj       | bubber   | raj.bubber@gmail.com     | 10     | Iowa          |
| raj       | bubber   | raj.bubber@gmail.com     | 12     | Maryland      |
| raj       | bubber   | raj.bubber@gmail.com     | MCA    | Alaska        |
+-----------+----------+--------------------------+--------+---------------+
85 rows in set (0.00 sec)




mysql> select s.namefirst, s.namelast, s.emailID, sq.college, sq.university from student s join student_qualifications sq on s.ID = sq.studentID where sq.university = 'Yale University';
+-----------+----------+--------------------------+---------------+-----------------+
| namefirst | namelast | emailID                  | college       | university      |
+-----------+----------+--------------------------+---------------+-----------------+
| omkar     | rokde    | omkar.rakde@gmail.com    | New York      | Yale University |
| omkar     | rokde    | omkar.rakde@gmail.com    | Arkansas      | Yale University |
| ulka      | joshi    | ulka.joshi@gmail.com     | Arizona       | Yale University |
| rahul     | patil    | rahul.patil@gmail.com    | New Hampshire | Yale University |
| ruhan     | bagde    | ruhan.bagde@gmail.com    | Alabama       | Yale University |
| vasant    | khande   | vasant.khande@gmail.com  | Vermont       | Yale University |
| nitish    | patil    | nitish.patil@gmail.com   | Texas         | Yale University |
| deep      | save     | deep.save@gmail.com      | New Hampshire | Yale University |
| supriya   | karnik   | supriya.karnik@gmail.com | Idaho         | Yale University |
| kaushal   | patil    | kaushal.patil@gmail.com  | Iowa          | Yale University |
| raj       | bubber   | raj.bubber@gmail.com     | Iowa          | Yale University |
+-----------+----------+--------------------------+---------------+-----------------+
11 rows in set (0.00 sec)




mysql> select s.*, sp.number, sq.university from student s left join student_phone sp
    -> on s.ID = sp.studentID
    -> left join student_qualifications sq on s.ID = sq.studentID;
+----+-----------+----------+------------+--------------------------+------------+-------------------------+
| ID | namefirst | namelast | DOB        | emailID                  | number     | university              |
+----+-----------+----------+------------+--------------------------+------------+-------------------------+
|  1 | saleel    | bagde    | 1984-06-12 | saleel.bagde@gmail.com   | 7032300034 | Stanford University     |
|  1 | saleel    | bagde    | 1984-06-12 | saleel.bagde@gmail.com   | 7032300034 | Harvard University      |
|  1 | saleel    | bagde    | 1984-06-12 | saleel.bagde@gmail.com   | 7032300034 | Harvard University      |
|  1 | saleel    | bagde    | 1984-06-12 | saleel.bagde@gmail.com   | 7132300034 | Stanford University     |
|  1 | saleel    | bagde    | 1984-06-12 | saleel.bagde@gmail.com   | 7132300034 | Harvard University      |
|  1 | saleel    | bagde    | 1984-06-12 | saleel.bagde@gmail.com   | 7132300034 | Harvard University      |
|  2 | omkar     | rokde    | 1969-10-25 | omkar.rakde@gmail.com    | 7032300039 | University of Chicago   |
|  2 | omkar     | rokde    | 1969-10-25 | omkar.rakde@gmail.com    | 7032300039 | Yale University         |
|  2 | omkar     | rokde    | 1969-10-25 | omkar.rakde@gmail.com    | 7032300039 | Yale University         |
|  2 | omkar     | rokde    | 1969-10-25 | omkar.rakde@gmail.com    | 7132300039 | University of Chicago   |
|  2 | omkar     | rokde    | 1969-10-25 | omkar.rakde@gmail.com    | 7132300039 | Yale University         |
|  2 | omkar     | rokde    | 1969-10-25 | omkar.rakde@gmail.com    | 7132300039 | Yale University         |
|  3 | ulka      | joshi    | 1970-10-25 | ulka.joshi@gmail.com     | 7032300050 | Yale University         |
|  3 | ulka      | joshi    | 1970-10-25 | ulka.joshi@gmail.com     | 7032300050 | California University   |
|  3 | ulka      | joshi    | 1970-10-25 | ulka.joshi@gmail.com     | 7032300050 | University of Florida   |
|  3 | ulka      | joshi    | 1970-10-25 | ulka.joshi@gmail.com     | 7132300050 | Yale University         |
|  3 | ulka      | joshi    | 1970-10-25 | ulka.joshi@gmail.com     | 7132300050 | California University   |
|  3 | ulka      | joshi    | 1970-10-25 | ulka.joshi@gmail.com     | 7132300050 | University of Florida   |
|  4 | rahul     | patil    | 1982-10-31 | rahul.patil@gmail.com    | 7032300027 | Pennsylvania University |
|  4 | rahul     | patil    | 1982-10-31 | rahul.patil@gmail.com    | 7032300027 | Yale University         |
|  4 | rahul     | patil    | 1982-10-31 | rahul.patil@gmail.com    | 7032300027 | Columbia University     |
|  4 | rahul     | patil    | 1982-10-31 | rahul.patil@gmail.com    | 7132300027 | Pennsylvania University |
|  4 | rahul     | patil    | 1982-10-31 | rahul.patil@gmail.com    | 7132300027 | Yale University         |
|  4 | rahul     | patil    | 1982-10-31 | rahul.patil@gmail.com    | 7132300027 | Columbia University     |
|  5 | ruhan     | bagde    | 1984-01-12 | ruhan.bagde@gmail.com    | 7032300001 | Yale University         |
|  5 | ruhan     | bagde    | 1984-01-12 | ruhan.bagde@gmail.com    | 7032300001 | University of Michigan  |
|  5 | ruhan     | bagde    | 1984-01-12 | ruhan.bagde@gmail.com    | 7032300001 | Stanford University     |
|  5 | ruhan     | bagde    | 1984-01-12 | ruhan.bagde@gmail.com    | 7032300001 | Yale University         |
|  5 | ruhan     | bagde    | 1984-01-12 | ruhan.bagde@gmail.com    | 7032300001 | University of Michigan  |
|  5 | ruhan     | bagde    | 1984-01-12 | ruhan.bagde@gmail.com    | 7032300001 | Stanford University     |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7032300079 | Harvard University      |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7032300079 | Harvard University      |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7032300079 | University of Chicago   |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7132300079 | Harvard University      |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7132300079 | Harvard University      |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7132300079 | University of Chicago   |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7134567123 | Harvard University      |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7134567123 | Harvard University      |
|  6 | lala      | prasad   | 1980-12-01 | lala.prasad@gmail.com    | 7134567123 | University of Chicago   |
|  7 | sharmin   | bagde    | 1986-12-14 | sharmin.bagde@gmail.com  | 7032300081 | University of Ohio      |
|  7 | sharmin   | bagde    | 1986-12-14 | sharmin.bagde@gmail.com  | 7032300081 | Stanford University     |
|  7 | sharmin   | bagde    | 1986-12-14 | sharmin.bagde@gmail.com  | 7032300081 | Harvard University      |
|  7 | sharmin   | bagde    | 1986-12-14 | sharmin.bagde@gmail.com  | 7132300081 | University of Ohio      |
|  7 | sharmin   | bagde    | 1986-12-14 | sharmin.bagde@gmail.com  | 7132300081 | Stanford University     |
|  7 | sharmin   | bagde    | 1986-12-14 | sharmin.bagde@gmail.com  | 7132300081 | Harvard University      |
|  8 | vrushali  | bagde    | 1984-12-29 | vrushali.bagde@gmail.com | 7032300054 | University Maryland     |
|  8 | vrushali  | bagde    | 1984-12-29 | vrushali.bagde@gmail.com | 7032300054 | California University   |
|  8 | vrushali  | bagde    | 1984-12-29 | vrushali.bagde@gmail.com | 7032300054 | University of Florida   |
|  8 | vrushali  | bagde    | 1984-12-29 | vrushali.bagde@gmail.com | 7132300054 | University Maryland     |
|  8 | vrushali  | bagde    | 1984-12-29 | vrushali.bagde@gmail.com | 7132300054 | California University   |
|  8 | vrushali  | bagde    | 1984-12-29 | vrushali.bagde@gmail.com | 7132300054 | University of Florida   |
|  9 | vasant    | khande   | 1992-10-26 | vasant.khande@gmail.com  | 7032300059 | Pennsylvania University |
|  9 | vasant    | khande   | 1992-10-26 | vasant.khande@gmail.com  | 7032300059 | Yale University         |
|  9 | vasant    | khande   | 1992-10-26 | vasant.khande@gmail.com  | 7032300059 | Columbia University     |
|  9 | vasant    | khande   | 1992-10-26 | vasant.khande@gmail.com  | 7132300059 | Pennsylvania University |
|  9 | vasant    | khande   | 1992-10-26 | vasant.khande@gmail.com  | 7132300059 | Yale University         |
|  9 | vasant    | khande   | 1992-10-26 | vasant.khande@gmail.com  | 7132300059 | Columbia University     |
| 10 | nitish    | patil    | 1990-10-26 | nitish.patil@gmail.com   | 7032300086 | Yale University         |
| 10 | nitish    | patil    | 1990-10-26 | nitish.patil@gmail.com   | 7032300086 | University of Michigan  |
| 10 | nitish    | patil    | 1990-10-26 | nitish.patil@gmail.com   | 7032300086 | California University   |
| 10 | nitish    | patil    | 1990-10-26 | nitish.patil@gmail.com   | 7132300086 | Yale University         |
| 10 | nitish    | patil    | 1990-10-26 | nitish.patil@gmail.com   | 7132300086 | University of Michigan  |
| 10 | nitish    | patil    | 1990-10-26 | nitish.patil@gmail.com   | 7132300086 | California University   |
| 11 | neel      | save     | 1975-10-30 | neel.save@gmail.com      | 7032300082 | University of Florida   |
| 11 | neel      | save     | 1975-10-30 | neel.save@gmail.com      | 7032300082 | Pennsylvania University |
| 11 | neel      | save     | 1975-10-30 | neel.save@gmail.com      | 7032300082 | University of Ohio      |
| 11 | neel      | save     | 1975-10-30 | neel.save@gmail.com      | 7132300082 | University of Florida   |
| 11 | neel      | save     | 1975-10-30 | neel.save@gmail.com      | 7132300082 | Pennsylvania University |
| 11 | neel      | save     | 1975-10-30 | neel.save@gmail.com      | 7132300082 | University of Ohio      |
| 12 | deep      | save     | 1986-11-30 | deep.save@gmail.com      | 7032300042 | Yale University         |
| 12 | deep      | save     | 1986-11-30 | deep.save@gmail.com      | 7032300042 | Stanford University     |
| 12 | deep      | save     | 1986-11-30 | deep.save@gmail.com      | 7032300042 | Harvard University      |
| 12 | deep      | save     | 1986-11-30 | deep.save@gmail.com      | 7132300042 | Yale University         |
| 12 | deep      | save     | 1986-11-30 | deep.save@gmail.com      | 7132300042 | Stanford University     |
| 12 | deep      | save     | 1986-11-30 | deep.save@gmail.com      | 7132300042 | Harvard University      |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7032300055 | Harvard University      |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7032300055 | University of Chicago   |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7032300055 | University of Florida   |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | Harvard University      |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | University of Chicago   |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | University of Florida   |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | Harvard University      |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | University of Chicago   |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | University of Florida   |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | Harvard University      |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | University of Chicago   |
| 13 | nrupali   | save     | 1981-12-01 | nrupali.save@gmail.com   | 7132300055 | University of Florida   |
| 14 | supriya   | karnik   | 1983-12-15 | supriya.karnik@gmail.com | 7032300013 | University of Florida   |
| 14 | supriya   | karnik   | 1983-12-15 | supriya.karnik@gmail.com | 7032300013 | University of Florida   |
| 14 | supriya   | karnik   | 1983-12-15 | supriya.karnik@gmail.com | 7032300013 | Yale University         |
| 15 | bandish   | karnik   | 1987-12-30 | bandish.karnik@gmail.com | 7032300099 | California University   |
| 15 | bandish   | karnik   | 1987-12-30 | bandish.karnik@gmail.com | 7032300099 | University of Florida   |
| 15 | bandish   | karnik   | 1987-12-30 | bandish.karnik@gmail.com | 7032300099 | Pennsylvania University |
| 16 | sangita   | karnik   | 1990-12-01 | sangita.karnik@gmail.com | 7032300023 | University of Michigan  |
| 16 | sangita   | karnik   | 1990-12-01 | sangita.karnik@gmail.com | 7032300023 | Columbia University     |
| 16 | sangita   | karnik   | 1990-12-01 | sangita.karnik@gmail.com | 7032300023 | University of Michigan  |
| 17 | sangita   | menon    | 1989-10-26 | sangita.menon@gmail.com  | 7032300084 | University of Michigan  |
| 17 | sangita   | menon    | 1989-10-26 | sangita.menon@gmail.com  | 7032300084 | University of Michigan  |
| 17 | sangita   | menon    | 1989-10-26 | sangita.menon@gmail.com  | 7032300084 | University of Ohio      |
| 18 | rahul     | shah     | 1982-06-12 | rahul.shah@gmail.com     | 7032300011 | Stanford University     |
| 18 | rahul     | shah     | 1982-06-12 | rahul.shah@gmail.com     | 7032300011 | Harvard University      |
| 18 | rahul     | shah     | 1982-06-12 | rahul.shah@gmail.com     | 7032300011 | Harvard University      |
| 19 | bhavin    | patel    | 1983-11-13 | bhavin.patel@gmail.com   | 7032300066 | University of Chicago   |
| 19 | bhavin    | patel    | 1983-11-13 | bhavin.patel@gmail.com   | 7032300066 | California University   |
| 19 | bhavin    | patel    | 1983-11-13 | bhavin.patel@gmail.com   | 7032300066 | University of Florida   |
| 20 | kaushal   | patil    | 1982-07-30 | kaushal.patil@gmail.com  | 7032300096 | Pennsylvania University |
| 20 | kaushal   | patil    | 1982-07-30 | kaushal.patil@gmail.com  | 7032300096 | Yale University         |
| 20 | kaushal   | patil    | 1982-07-30 | kaushal.patil@gmail.com  | 7032300096 | Columbia University     |
| 21 | pankaj    | gandhi   | 1982-07-30 | pankaj.gandhi@gmail.com  | 7156567123 | Stanford University     |
| 21 | pankaj    | gandhi   | 1982-07-30 | pankaj.gandhi@gmail.com  | 7156567123 | Harvard University      |
| 21 | pankaj    | gandhi   | 1982-07-30 | pankaj.gandhi@gmail.com  | 7156567123 | Harvard University      |
| 22 | rajan     | patel    | 1982-07-30 | rajan.patel@gmail.com    | 7156567134 | Stanford University     |
| 22 | rajan     | patel    | 1982-07-30 | rajan.patel@gmail.com    | 7156567134 | Harvard University      |
| 22 | rajan     | patel    | 1982-07-30 | rajan.patel@gmail.com    | 7156567134 | Harvard University      |
| 23 | bhavin    | patel    | 1982-07-30 | bhavin.patel@gmail.com   | 7156563423 | Stanford University     |
| 23 | bhavin    | patel    | 1982-07-30 | bhavin.patel@gmail.com   | 7156563423 | Harvard University      |
| 23 | bhavin    | patel    | 1982-07-30 | bhavin.patel@gmail.com   | 7156563423 | Harvard University      |
| 24 | mukesh    | bhavsar  | 1982-07-30 | mukesh.bhavsar@gmail.com | 7156567183 | University of Ohio      |
| 24 | mukesh    | bhavsar  | 1982-07-30 | mukesh.bhavsar@gmail.com | 7156567183 | Stanford University     |
| 24 | mukesh    | bhavsar  | 1982-07-30 | mukesh.bhavsar@gmail.com | 7156567183 | Harvard University      |
| 25 | dilu      | khande   | 1982-07-30 | dilu.khande@gmail.com    | 7146566412 | University of Ohio      |
| 25 | dilu      | khande   | 1982-07-30 | dilu.khande@gmail.com    | 7146566412 | Stanford University     |
| 25 | dilu      | khande   | 1982-07-30 | dilu.khande@gmail.com    | 7146566412 | Harvard University      |
| 26 | sonam     | khan     | 1972-05-13 | sonam.khan@gmail.com     | NULL       | Stanford University     |
| 26 | sonam     | khan     | 1972-05-13 | sonam.khan@gmail.com     | NULL       | Harvard University      |
| 26 | sonam     | khan     | 1972-05-13 | sonam.khan@gmail.com     | NULL       | Harvard University      |
| 27 | rohit     | patil    | 1976-12-31 | rohit.patil@gmail.com    | NULL       | University of Chicago   |
| 27 | rohit     | patil    | 1976-12-31 | rohit.patil@gmail.com    | NULL       | California University   |
| 27 | rohit     | patil    | 1976-12-31 | rohit.patil@gmail.com    | NULL       | University of Florida   |
| 27 | rohit     | patil    | 1976-12-31 | rohit.patil@gmail.com    | NULL       | Pennsylvania University |
| 28 | raj       | bubber   | 1982-02-28 | raj.bubber@gmail.com     | NULL       | Yale University         |
| 28 | raj       | bubber   | 1982-02-28 | raj.bubber@gmail.com     | NULL       | Columbia University     |
| 28 | raj       | bubber   | 1982-02-28 | raj.bubber@gmail.com     | NULL       | Harvard University      |
+----+-----------+----------+------------+--------------------------+------------+-------------------------+
133 rows in set (0.04 sec)




mysql> select studentID, namefirst, namelast, name, college, university, marks from student s join student_qualifications sq on sq.studentID = s.ID  where name = 'BE';
+-----------+-----------+----------+------+-------------+-------------------------+-------+
| studentID | namefirst | namelast | name | college     | university              | marks |
+-----------+-----------+----------+------+-------------+-------------------------+-------+
|         1 | saleel    | bagde    | BE   | Arizona     | Harvard University      | 68    |
